nombre_municipio,asegurados,fecha
Huejúcar                      ,129,01/12/2017
Huejuquilla el Alto           ,89,01/12/2017
Ixtlahuacán de los Membrillos ,4472,01/12/2017
Ixtlahuacán del Río           ,592,01/12/2017
Jalostotitlán                 ,3131,01/12/2017
Jamay                         ,1263,01/12/2017
Jesús María                   ,1720,01/12/2017
Jilotlán de los Dolores       ,39,01/12/2017
Jocotepec                     ,6887,01/12/2017
Juanacatlán                   ,1979,01/12/2017
Juchitlán                     ,121,01/12/2017
La Barca                      ,6835,01/12/2017
La Huerta                     ,2477,01/12/2017
La Manzanilla de la Paz       ,51,01/12/2017
Lagos de Moreno               ,37260,01/12/2017
Magdalena                     ,1878,01/12/2017
Mascota                       ,1986,01/12/2017
Mazamitla                     ,1108,01/12/2017
Mexticacán                    ,11,01/12/2017
Mezquitic                     ,283,01/12/2017
Mixtlán                       ,49,01/12/2017
Ocotlán                       ,30384,01/12/2017
Ojuelos de Jalisco            ,2156,01/12/2017
Pihuamo                       ,602,01/12/2017
Poncitlán                     ,5722,01/12/2017
Puerto Vallarta               ,75413,01/12/2017
Quitupan                      ,5,01/12/2017
San Cristóbal de la Barranca  ,69,01/12/2017
San Diego de Alejandría       ,252,01/12/2017
San Gabriel                   ,3119,01/12/2017
San Ignacio Cerro Gordo       ,800,01/12/2017
San Juan de los Lagos         ,11913,01/12/2017
San Juanito de Escobedo       ,368,01/12/2017
San Julián                    ,721,01/12/2017
San Marcos                    ,23,01/12/2017
San Martín de Bolaños         ,467,01/12/2017
San Martín Hidalgo            ,686,01/12/2017
San Miguel el Alto            ,3844,01/12/2017
San Pedro Tlaquepaque         ,108163,01/12/2017
San Sebastián del Oeste       ,58,01/12/2017
Santa María de los Ángeles    ,125,01/12/2017
Santa María del Oro           ,1,01/12/2017
Sayula                        ,4784,01/12/2017
Tala                          ,15693,01/12/2017
Talpa de Allende              ,483,01/12/2017
Tamazula de Gordiano          ,9363,01/12/2017
Tapalpa                       ,2075,01/12/2017
Tecalitlán                    ,734,01/12/2017
Techaluta de Montenegro       ,67,01/12/2017
Tecolotlán                    ,978,01/12/2017
Tenamaxtlán                   ,242,01/12/2017
Teocaltiche                   ,2865,01/12/2017
Teocuitatlán de Corona        ,346,01/12/2017
Tepatitlán de Morelos         ,37545,01/12/2017
Tequila                       ,6544,01/12/2017
Teuchitlán                    ,409,01/12/2017
Tizapán el Alto               ,1134,01/12/2017
Tlajomulco de Zúñiga          ,79210,01/12/2017
Tolimán                       ,797,01/12/2017
Tomatlán                      ,1918,01/12/2017
Tonalá                        ,31608,01/12/2017
Tonaya                        ,1068,01/12/2017
Tonila                        ,339,01/12/2017
Totatiche                     ,46,01/12/2017
Tototlán                      ,1718,01/12/2017
Tuxcacuesco                   ,3353,01/12/2017
Tuxcueca                      ,287,01/12/2017
Tuxpan                        ,4526,01/12/2017
Unión de San Antonio          ,1308,01/12/2017
Unión de Tula                 ,512,01/12/2017
Valle de Guadalupe            ,1567,01/12/2017
Valle de Juárez               ,263,01/12/2017
Villa Corona                  ,907,01/12/2017
Villa Guerrero                ,34,01/12/2017
Villa Hidalgo                 ,751,01/12/2017
